Name,GW1 Pts,GW1 Transfers,GW1 Bench,GW1 OR,GW1 Rank,GW2 Pts,GW2 Transfers,GW2 Bench,GW2 OR,GW2 Rank,GW3 Pts,GW3 Transfers,GW3 Bench,GW3 OR,GW3 Rank,GW4 Pts,GW4 Transfers,GW4 Bench,GW4 OR,GW4 Rank,GW5 Pts,GW5 Transfers,GW5 Bench,GW5 OR,GW5 Rank,GW6 Pts,GW6 Transfers,GW6 Bench,GW6 OR,GW6 Rank,GW7 Pts,GW7 Transfers,GW7 Bench,GW7 OR,GW7 Rank,GW8 Pts,GW8 Transfers,GW8 Bench,GW8 OR,GW8 Rank,GW9 Pts,GW9 Transfers,GW9 Bench,GW9 OR,GW9 Rank,GW10 Pts,GW10 Transfers,GW10 Bench,GW10 OR,GW10 Rank,GW11 Pts,GW11 Transfers,GW11 Bench,GW11 OR,GW11 Rank,GW12 Pts,GW12 Transfers,GW12 Bench,GW12 OR,GW12 Rank,GW13 Pts,GW13 Transfers,GW13 Bench,GW13 OR,GW13 Rank,GW14 Pts,GW14 Transfers,GW14 Bench,GW14 OR,GW14 Rank,GW15 Pts,GW15 Transfers,GW15 Bench,GW15 OR,GW15 Rank,GW16 Pts,GW16 Transfers,GW16 Bench,GW16 OR,GW16 Rank,GW17 Pts,GW17 Transfers,GW17 Bench,GW17 OR,GW17 Rank,GW18 Pts,GW18 Transfers,GW18 Bench,GW18 OR,GW18 Rank,GW19 Pts,GW19 Transfers,GW19 Bench,GW19 OR,GW19 Rank,GW20 Pts,GW20 Transfers,GW20 Bench,GW20 OR,GW20 Rank,GW21 Pts,GW21 Transfers,GW21 Bench,GW21 OR,GW21 Rank,GW22 Pts,GW22 Transfers,GW22 Bench,GW22 OR,GW22 Rank,GW23 Pts,GW23 Transfers,GW23 Bench,GW23 OR,GW23 Rank,GW24 Pts,GW24 Transfers,GW24 Bench,GW24 OR,GW24 Rank,GW25 Pts,GW25 Transfers,GW25 Bench,GW25 OR,GW25 Rank,GW26 Pts,GW26 Transfers,GW26 Bench,GW26 OR,GW26 Rank,GW27 Pts,GW27 Transfers,GW27 Bench,GW27 OR,GW27 Rank,GW28 Pts,GW28 Transfers,GW28 Bench,GW28 OR,GW28 Rank,GW29 Pts,GW29 Transfers,GW29 Bench,GW29 OR,GW29 Rank,GW30 Pts,GW30 Transfers,GW30 Bench,GW30 OR,GW30 Rank,GW31 Pts,GW31 Transfers,GW31 Bench,GW31 OR,GW31 Rank,GW32 Pts,GW32 Transfers,GW32 Bench,GW32 OR,GW32 Rank,GW33 Pts,GW33 Transfers,GW33 Bench,GW33 OR,GW33 Rank,GW34 Pts,GW34 Transfers,GW34 Bench,GW34 OR,GW34 Rank,GW35 Pts,GW35 Transfers,GW35 Bench,GW35 OR,GW35 Rank,GW36 Pts,GW36 Transfers,GW36 Bench,GW36 OR,GW36 Rank,GW37 Pts,GW37 Transfers,GW37 Bench,GW37 OR,GW37 Rank,GW38 Pts,GW38 Transfers,GW38 Bench,GW38 OR,GW38 Rank
Roy Weiss,55,0,11,4223898,4223904,70,1,0,1132734,885382,37,1,8,2890952,9364576,80,1,7,1419466,1203872,51,0,9,1072347,2385748,85,2,5,261363,123806,76,1,5,201121,1979048,76,1,11,130113,1078960,34,1,6,324193,10544504,85,0,4,191220,746226,48,0,5,131095,1906162,52,3,6,86422,1844907,54,1,5,50266,846736,77,1,3,35566,1540834,65,0,24,20451,1353228,90,3,3,9760,344735,73,3,9,18020,5148005,47,0,11,18367,4728297,37 (41),2 (-4),2,23178,6135209,62,0,3,13642,843063,44,1,5,26414,8149643,54,2,19,14096,1353707,42,1,14,13970,7241567,66,0,1,13035,2287588,64,2,3,18646,4735642,85,0,12,8134,352203,56,0,2,5234,1975839,77,2,2,4714,1186773,58,2,6,6422,5484121,48,0,23,9913,4080616,68,2,0,6546,439864,67,0,9,4389,821763,119,1,0,3510,284470,60,0,12,3509,937427,44,0,21,5923,8987460,76,2,11,7858,4279762,64,0,12,7676,3071590,67,2,2,5356,784942
Alex Golts,68,0,9,1235729,1235729,38,0,1,4274377,8927235,54,1,3,3175669,3339053,80,2,11,1591728,1243862,47,0,14,1479164,3833414,77,0,3,589126,421921,73,0,2,517053,2582789,58,0,9,780752,5595752,54,1,15,633221,3442125,64,2,8,918381,7008069,59,1,5,451407,345501,52,2,5,304596,1817305,56,2,4,172045,680979,82,1,10,95089,775333,57,1,0,86936,3257301,91,2,7,42164,295631,82,0,6,42454,2543657,58,3,4,24159,1523039,34,0,26,34554,9189211,52,0,13,34395,2699428,45,0,9,59934,7533475,45,2,8,50001,4066247,29,2,15,89634,11889415,79,3,2,47009,346110,65,0,4,58714,4033279,83,2,2,30654,545057,50,0,11,27339,3880630,82,0,2,18644,560365,81,1,3,8105,790166,48,0,7,12337,4080616,51,3,3,18051,3406636,51,0,12,24308,4903646,126,0,0,13360,152702,65,0,12,10617,506629,56,0,15,10570,4156291,86,4,12,9234,1992451,69,1,11,7375,1983450,51,1,2,9970,3606717
Hadar Hason,59,0,9,3111856,3111857,40,0,13,5742257,8464219,61,2,6,3207127,1532307,67,1,21,3001965,4695336,58,0,0,1636763,809507,75,2,5,739699,610365,65,1,6,927592,4977295,66,0,10,929182,3091355,52,0,4,814284,3842677,73,1,6,827196,3699846,38,0,3,912490,6013927,50,2,5,692086,2261110,72,0,1,203893,71387,57,2,4,347466,7362995,54,1,12,345977,4232889,77,2,2,313693,1684802,77,0,10,365285,3786603,52,4,1,309221,3156019,44,2,5,273895,4694237,59,0,1,198835,1246360,37,1,5,378233,10215186,55,2,6,232658,1178975,37,1,6,278900,9508475,71,1,1,209479,1277254,64 (68),2 (-4),4,248742,3228423,75,0,14,189047,1479759,59,2,14,126846,1507241,89,1,6,67882,181444,68,0,2,56520,2734349,55,0,24,57567,1871223,58,1,2,58931,1917056,58,0,12,57482,2553534,134,1,0,23673,42342,59,0,15,23456,1051813,48,1,16,31328,7769722,75,2,11,40636,4542359,65,1,14,38774,2994622,56 (60),3 (-4),2,40323,1765094
Danny Simon,68,0,5,1235729,1235729,34,0,13,5128155,9677273,56,1,4,3507939,2717662,77,0,7,2039766,1678057,47,2,13,1888689,4163910,72 (76),3 (-4),-1,995284,551635,80,1,5,621689,1200853,62,0,13,765945,4308006,39,0,19,1100629,8476092,69,0,7,1238373,4930214,53,1,0,822806,983274,40,0,4,880188,5254150,35,2,5,1027424,6074530,57,2,3,1382840,7362995,71,1,14,850000,712590,86,1,6,564793,586309,85,3,7,503529,2079110,58,2,12,355203,1497556,49,2,6,266143,2724146,57,1,7,208744,1702448,54,1,9,225188,4457417,42,0,12,209740,5070408,47,0,21,176131,4636809,68,0,13,146061,1782750,59,4,11,212122,6736582,65,1,3,222571,4304500,55,0,6,171360,2231460,82,2,3,119673,617683,65,0,4,112570,3415204,50,0,7,130869,3338800,49,0,0,168635,3639624,63,0,15,140591,1432695,107,1,0,127744,672745,63,0,5,107826,657018,59,0,15,102130,3095859,86,5,21,95161,1998336,61,0,16,100949,4011106,65,2,3,80241,1007640
Hadar Grubman,54,0,6,4551053,4551060,50,0,7,4706099,5479611,62,1,4,2276341,1297150,78,0,8,1232111,1475616,54,2,2,798833,1762173,62 (66),2 (-4),1,739699,1807180,70,1,3,743272,3540469,73 (77),2 (-4),14,569330,981802,52,0,13,498069,3842677,66,2,11,700641,6295647,50 (58),3 (-8),0,487590,442258,53,1,15,315090,1584099,63,0,10,124326,255015,71,0,3,118367,2811227,65,2,8,72600,1470623,89,3,4,39215,397615,77,1,11,51682,3919480,61,3,3,25152,1011412,38,0,10,29059,7227458,48 (52),3 (-4),3,35987,2949926,47,0,3,56764,6813702,41,2,5,56862,5991939,42,1,3,57324,7241567,75,1,1,34969,678555,71,1,2,33966,2204686,57,1,1,54936,7206783,43,0,3,65335,7236102,84 (88),3 (-4),2,41524,238563,55,0,4,57489,6096762,61,1,6,47007,851226,54 (58),3 (-4),2,56157,1971356,70,1,14,35396,573136,95,0,36,55964,1381097,71,1,2,37204,217501,51,0,8,44465,6178572,82,0,0,45637,2628566,45 (49),3 (-4),5,78782,8453144,54,1,0,83678,2897092
Ohad Mandel,59,0,6,3111856,3111857,50,0,14,3634170,5479611,42,2,15,4733955,7875133,69,1,11,3913606,4017557,36,0,7,4744696,8600493,84,2,1,1734834,148764,72 (76),2 (-4),3,1538033,2034372,78 (82),2 (-4),0,984391,511987,56,1,9,741231,2890215,73,0,4,756241,3531001,45,0,7,642515,2845634,52,1,9,440695,1776333,55,0,2,259046,698795,67,1,10,287263,4237626,43,2,6,438221,8616732,90,3,4,245598,344735,79,2,4,273149,3422417,40,2,11,347889,8281234,34 (38),2 (-4),4,428356,7650971,35,0,0,640230,8556004,42,1,6,900581,8806430,40,1,22,884682,6437818,37,1,16,1006643,9508475,62,1,1,962672,3740290,61 (65),3 (-4),6,1086484,4385790,66,1,8,1055077,3969678,59,1,20,823999,1484227,93,1,5,466855,74719,80,0,1,304909,826678,53,0,27,307170,2399169,57,3,2,305481,2168734,52,1,7,336483,4820354,102,0,7,306530,908067,71,0,6,217588,182941,77,0,0,139762,223234,98,2,5,96064,408659,65,1,21,92332,2994622,44 (48),2 (-4),6,124340,4406504
Yuval Shkolar,74,0,9,544391,544391,31,1,6,4597318,10145706,46,1,11,4733955,6302765,67,1,13,4183737,4695336,40,0,10,4503670,6922798,72 (76),3 (-4),3,2424713,551635,77,1,7,1811428,1763930,92,0,12,674116,97093,31,0,8,1301863,11140731,86,0,19,827196,626989,51,0,19,558200,1225686,44,2,9,531182,4044252,40,2,14,565685,4011941,61,1,17,730918,6187523,47,1,8,874517,6961409,78,3,11,735537,1531097,97,1,0,459536,513845,37,1,2,612385,9492296,28,2,5,849413,11561704,52,1,0,779163,2873814,41,2,15,1096382,9138224,54,1,8,785100,1338244,43,0,5,776894,6435897,66,2,10,684659,2492193,74,1,6,588287,1452177,69,1,6,538337,3046617,50,0,27,494429,3880630,79,1,8,380712,905766,62,0,3,389366,4167023,49,1,8,426379,3960849,71,2,3,302660,229583,59,0,9,282127,2298840,143,1,0,98395,4996,21,1,0,225091,11067550,55,0,22,233876,4551058,70,2,15,300215,5856437,81,1,6,212827,402776,58,1,2,199470,2069146
Yaniv Salomon,50,0,4,5781357,5781366,68,0,0,1982826,1068182,49,0,5,2114480,4967498,59,2,10,3097693,7544312,35,0,17,4126408,8972267,75,3,11,1992217,631011,78,0,8,1413126,1476458,70,0,19,1193639,2053797,48,0,5,1208359,5084106,77,2,8,1055155,2516679,58,2,5,564648,432549,39,1,5,647325,5888468,70,0,0,204810,107994,53,1,5,405261,8312220,47,1,10,513054,6961409,75,3,8,485999,2070570,64,1,8,784218,7541664,52,3,0,685473,3135372,50,1,10,522558,2373210,46,0,1,568570,4529199,54,2,13,600351,4516449,42,1,4,562763,5393205,49,1,6,470260,4113134,60,0,3,487748,4243807,73,2,6,430519,1726924,48,1,5,663461,10126125,45,1,5,688186,6553823,68,1,1,674765,2759802,54,0,10,802373,6386044,62,0,9,652316,654529,53,3,8,676606,2988424,64,0,13,574027,1256408,124,1,0,329027,192611,65,0,2,263339,506629,54,0,24,278934,4949151,83,2,18,277826,2565672,69,0,18,248988,1833326,61,2,8,220017,1572563
Omer Apel,51,0,5,5471399,5471408,56,0,3,4061232,3570435,32,2,9,6655244,10473917,72,0,3,5105631,2931949,40,1,19,5339705,7181102,69,0,23,3148067,1227843,73,0,7,2641195,2582789,73,0,15,2053488,1466337,52,2,3,1845474,4082334,85,2,6,1277118,837639,44,1,7,1152253,3463036,51,1,5,853426,1983767,64 (68),2 (-4),1,375586,153717,68 (72),2 (-4),9,396746,2760751,62,1,8,291001,1993094,77,5,10,267616,1745015,78,1,10,304842,3644326,42,1,11,359411,7302988,52,1,0,240178,1829811,50,1,5,241862,3453299,55,0,6,249863,3872082,27,1,22,379981,11967795,58,2,14,229975,1530724,64,1,2,219126,3059160,71 (75),2 (-4),3,206693,1287528,60,0,5,252786,5838880,35,0,6,353562,10972915,80 (84),4 (-4),0,266131,477975,54,1,9,339047,6605153,53 (57),2 (-4),18,340724,1582089,61,1,1,305833,1366788,51,0,12,344366,4903646,110,1,0,266146,540154,73,0,3,180015,124244,56,0,19,183888,4156291,54 (58),3 (-4),17,325339,8637654,66 (70),2 (-4),15,310957,1805523,58 (62),2 (-4),3,291015,1416421
Tal Avraham,77,0,18,340882,340882,60,1,17,308091,2639060,55,0,5,265798,2885611,68,1,12,401338,4352745,36,0,-3,891735,8600493,51,2,12,1317020,4870348,69,2,10,1325188,3889804,69,0,16,1159231,2298103,28,2,11,2126415,11746391,78,0,20,1796284,2057872,48,1,5,1468318,2073187,38,0,11,1590574,6057417,53,0,8,1084862,886570,64,2,16,1214512,5301662,39,2,10,1666908,9979426,67,2,4,1732119,4038917,83,3,5,1602428,2492059,56,0,13,1320594,1763129,44,1,0,1224419,4631076,64,0,3,854544,634791,43,2,18,1137258,8511754,35,0,20,1234251,8776682,55,2,15,955231,2205855,77,2,3,649691,487669,54,0,5,879209,8160498,92,2,20,473394,122106,63,0,17,304748,768836,78,2,13,241728,1054075,75,1,6,170789,1550112,51,0,28,187403,3001680,41 (45),3 (-4),2,289184,4692240,66,0,12,226202,950357,114,1,0,165238,409848,61,0,11,145465,834897,33,1,20,244098,11883893,82,1,5,248386,2760811,53,1,16,302533,7082110,49,1,2,332055,4114033
